system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_vehicles
420.9,50,807.4000000000001,2.5470031545741327,9.63009600078551,317
421.0,50,812.3999999999997,2.5708860759493666,9.626731363350483,316
421.1,50,817.4000000000002,2.5949206349206353,9.614613252963798,315
421.2,50,822.3999999999999,2.610793650793651,9.610286059627542,315
421.3,50,827.4000000000001,2.6266666666666665,9.616216670706551,315
421.4,50,832.4,2.6425396825396827,9.616330417816249,315
421.5,50,837.3999999999997,2.658412698412698,9.614551903022955,315
421.6,50,842.4000000000002,2.6742857142857144,9.609381372533978,315
421.7,50,847.3999999999999,2.6901587301587306,9.609353404152907,315
421.8,50,852.4000000000002,2.706031746031746,9.613339615833372,315
421.9,50,857.4,2.7219047619047623,9.615794117820203,315
422.0,50,862.3999999999997,2.755271565495207,9.587865909121398,313
422.1,50,867.4000000000002,2.7449367088607595,9.620632445662226,316
422.2,50,872.3999999999999,2.7695238095238097,9.62012072149107,315
422.3,50,877.4000000000002,2.7853968253968255,9.6224999849433,315
422.4,50,882.3999999999999,2.8012698412698414,9.624472588359637,315
422.5,50,887.3999999999997,2.826114649681528,9.613977941930388,314
422.6,51,892.5000000000002,2.851437699680511,9.605275612163226,313
422.7,52,897.6999999999999,2.868051118210863,9.608913630963698,313
422.8,53,903.0000000000005,2.8849840255591053,9.61023370488808,313
422.9,53,908.2999999999997,2.901916932907348,9.614318148164616,313
423.0,53,913.5999999999998,2.9188498402555907,9.613608392084734,313
423.1,53,918.9000000000002,2.9357827476038336,9.616595973313734,313
423.2,53,924.1999999999999,2.952715654952077,9.616038156824775,313
423.3,53,929.5000000000005,2.9696485623003195,9.610905453245422,313
423.4,53,934.7999999999997,2.986581469648562,9.612993095992877,313
423.5,53,940.0999999999997,3.0228295819935687,9.57609084777623,311
423.6,53,945.4000000000002,3.049677419354839,9.558279271556057,310
423.7,53,950.6999999999999,3.076699029126214,9.547201129823438,309
423.8,53,956.0000000000005,3.0938511326860842,9.543767965761596,309
423.9,54,961.3999999999997,3.111326860841424,9.542870513779325,309
424.0,54,966.7999999999997,3.138961038961039,9.527312450020506,308
424.1,54,972.2000000000002,3.1260450160771707,9.568442153511247,311
424.2,54,977.5999999999999,3.1535483870967744,9.561436755538589,310
424.3,54,983.0000000000003,3.170967741935484,9.561905916849264,310
424.4,54,988.3999999999999,3.1883870967741936,9.562791349722852,310
424.5,54,993.7999999999997,3.205806451612903,9.560300679751633,310
424.6,54,999.2000000000002,3.223225806451613,9.559863363460787,310
424.7,54,1004.6,3.240645161290323,9.553971327419593,310
424.8,54,1010.0000000000005,3.2580645161290325,9.554438441958817,310
424.9,54,1015.3999999999997,3.2754838709677414,9.55421800798634,310
425.0,54,1020.7999999999997,3.3035598705501616,9.534330015471202,309
425.1,54,1026.2000000000003,3.331818181818182,9.516097826787473,308
425.2,54,1031.5999999999997,3.34935064935065,9.517023435344719,308
425.3,54,1037.0000000000005,3.366883116883117,9.515597255718196,308
425.4,54,1042.3999999999999,3.384415584415584,9.514739627396187,308
425.5,54,1047.8,3.4241830065359475,9.481480319103946,306
425.6,54,1053.2000000000003,3.4418300653594773,9.482689546419946,306
425.7,54,1058.5999999999997,3.470819672131148,9.469056123201224,305
425.8,54,1064.0000000000005,3.4885245901639346,9.471205931440808,305
425.9,54,1069.3999999999996,3.5177631578947364,9.460099272717764,304
426.0,54,1074.8,3.5355263157894736,9.45761131902916,304
426.1,54,1080.2,3.4621794871794864,9.572823308909673,312
426.2,54,1085.6,3.479487179487179,9.567672427384183,312
426.3,54,1091.0000000000005,3.496794871794872,9.563791891432398,312
426.4,54,1096.3999999999999,3.5254019292604504,9.543251417435357,311
426.5,54,1101.8000000000002,3.5541935483870972,9.523233835016955,310
426.6,54,1107.2,3.5716129032258057,9.521697554314558,310
426.7,54,1112.5999999999997,3.589032258064516,9.521320567130815,310
426.8,54,1118.0000000000005,3.606451612903226,9.518161547118726,310
426.9,54,1123.3999999999996,3.6238709677419356,9.51154447514392,310
427.0,54,1128.8000000000002,3.641290322580646,9.509880651748972,310
427.1,54,1134.2,3.6705501618122973,9.497111311716017,309
427.2,54,1139.6,3.688025889967637,9.491494124285593,309
427.3,54,1145.0000000000005,3.7175324675324677,9.478014979786446,308
427.4,54,1150.3999999999996,3.7472312703583066,9.466614032907229,307
427.5,54,1155.8,3.764820846905538,9.46096025290919,307
427.6,54,1161.2000000000003,3.782410423452768,9.459496400533041,307
427.7,54,1166.5999999999997,3.8,9.457708203439472,307
427.8,54,1172.0000000000005,3.8300653594771243,9.44319711641461,306
427.9,54,1177.3999999999999,3.8477124183006537,9.44224655790136,306
428.0,54,1182.8,3.8653594771241835,9.445292380889525,306
428.1,54,1188.2000000000003,3.832903225806451,9.49982714956257,310
428.2,54,1193.5999999999997,3.850322580645161,9.497314173660888,310
428.3,55,1199.1000000000004,3.868064516129032,9.499208246823603,310
