,system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,phase_i_cr30_101,phase_i_cr30_gln,phase_i_cr30_lln,phase_i_cr30_tln
312,312.0,114,9605.0,53.659217877094974,3.964356596844195,8,13,56,3
313,313.0,115,9714.0,53.96666666666667,3.9707421619011622,9,13,56,3
314,314.0,115,9825.0,54.583333333333336,3.947279018242924,10,14,55,3
315,315.0,117,9935.0,54.889502762430936,3.981049675414753,11,13,55,3
316,316.0,119,10045.0,55.49723756906077,3.880698507146622,11,14,55,3
317,317.0,119,10162.0,56.14364640883978,4.0143074814088715,12,13,55,4
318,318.0,119,10276.0,56.773480662983424,4.034157835308883,12,13,56,4
319,319.0,123,10391.0,56.47282608695652,3.9523113688246765,13,13,56,4
320,320.0,124,10509.0,56.8054054054054,3.9768977535052725,15,13,57,4
321,321.0,125,10605.0,57.63586956521739,3.814428841482582,16,13,57,3
322,322.0,123,10714.0,57.60215053763441,3.8354258692433145,16,13,57,1
323,323.0,125,10835.0,57.94117647058823,3.8224503793859492,16,13,57,1
324,324.0,125,10959.0,58.60427807486631,3.832487408080817,16,13,57,1
325,325.0,124,11078.0,59.55913978494624,3.5862015693328044,16,13,57,1
326,326.0,124,11200.0,59.893048128342244,3.556170288766442,16,13,57,1
327,327.0,123,11284.0,60.02127659574468,3.6555866344977304,14,13,57,1
328,328.0,124,11372.0,59.85263157894737,3.7235545665585725,12,13,58,1
329,329.0,125,11471.0,60.373684210526314,3.899433725244507,11,13,58,1
330,330.0,124,11532.0,60.694736842105264,4.035199991178376,10,13,57,1
331,331.0,125,11619.0,60.515625,4.1529688620838,9,13,57,1
332,332.0,122,11717.0,61.026041666666664,4.298755910476014,8,13,56,1
333,333.0,122,11815.0,61.8586387434555,4.343338550743226,7,13,56,1
334,334.0,122,11913.0,62.046875,4.518591034564129,6,13,56,1
335,335.0,122,12012.0,62.23834196891192,4.6325752112680325,5,13,56,1
336,336.0,123,12112.0,62.75647668393783,4.594403826191801,4,13,56,1
337,337.0,122,12212.0,63.27461139896373,4.561437803151344,3,13,56,1
338,338.0,123,12315.0,63.47938144329897,4.50697353624741,3,13,56,1
339,339.0,126,12439.0,64.11855670103093,4.282104435262855,3,13,56,1
340,340.0,125,12542.0,64.31794871794872,4.182850948048504,3,13,56,1
341,341.0,127,12648.0,64.53061224489795,4.13652862176619,2,13,57,1
342,342.0,129,12754.0,64.74111675126903,4.041766150990412,4,14,56,1
343,343.0,128,12860.0,64.94949494949495,4.020247169101456,5,14,56,1
344,344.0,128,12969.0,65.17085427135679,4.09511032474058,5,14,56,1
345,345.0,128,13071.0,65.355,4.185879473696946,5,14,56,1
346,346.0,128,13192.0,65.96,4.195348284886436,4,15,56,1
347,347.0,127,13295.0,66.475,4.258607411925838,4,15,56,1
348,348.0,129,13398.0,66.65671641791045,4.201871232952213,3,15,56,1
349,349.0,128,13501.0,66.50738916256158,4.234800270787713,3,15,56,1
350,350.0,125,13604.0,67.68159203980099,4.2586330396031675,3,15,56,1
351,351.0,127,13711.0,68.555,4.215968063231518,3,15,56,1
352,352.0,129,13836.0,68.83582089552239,4.175586337291195,2,15,56,1
353,353.0,127,13943.0,69.715,4.164526172256063,2,15,56,1
354,354.0,128,14039.0,69.8457711442786,4.180302307764051,1,15,56,1
355,355.0,128,14147.0,70.03465346534654,4.149584007623858,2,15,56,1
356,356.0,128,14257.0,70.57920792079207,4.017899697150124,1,15,57,1
357,357.0,131,14387.0,70.87192118226601,3.9469694153700803,3,15,56,2
358,358.0,133,14501.0,71.43349753694581,3.7723864920177075,3,16,56,1
359,359.0,137,14618.0,71.30731707317074,3.5687973651643095,3,16,57,3
