edges_version;location_convBoundary;location_netOffset;location_origBoundary;location_projParameter;edge_from;edge_id;edge_length;edge_numLanes;edge_priority;edge_speed;edge_to;edge_shape;edge_spreadType;edge_disallow;edge_name;edge_type;lane_index;param_key;param_value
1.20;;;;;ngln_ud_2;GLN_UD_2;100.00;3;3;13.41;i_cr30_gln;11016.95,1309.82 11016.53,1208.34;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Garland Lane North;highway.residential;0;origId;243595607
1.20;;;;;ngln_ud_2;GLN_UD_2;100.00;3;3;13.41;i_cr30_gln;11016.95,1309.82 11016.53,1208.34;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Garland Lane North;highway.residential;1;origId;243595607
1.20;;;;;ngln_ud_2;GLN_UD_2;100.00;3;3;13.41;i_cr30_gln;11016.95,1309.82 11016.53,1208.34;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Garland Lane North;highway.residential;2;origId;243595607
1.20;;;;;i_cr30_gln;GLN_UD_3;135.00;2;3;13.41;gneJ5;11016.28,1182.78 11014.76,1055.67;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Garland Lane North;highway.residential;0;origId;243595607
1.20;;;;;i_cr30_gln;GLN_UD_3;135.00;2;3;13.41;gneJ5;11016.28,1182.78 11014.76,1055.67;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Garland Lane North;highway.residential;1;origId;243595607
1.20;;;;;gneJ5;GLN_UD_4;;2;3;13.41;ngln_ud_3;;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Garland Lane North;highway.residential;0;origId;243595607
1.20;;;;;gneJ5;GLN_UD_4;;2;3;13.41;ngln_ud_3;;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Garland Lane North;highway.residential;1;origId;243595607
1.20;;;;;nlln_du_1;LLN_DU_1;;1;-1;17.88;nlln_du_2;;;;;;;;
1.20;;;;;nlln_du_2;LLN_DU_2;100.00;2;-1;17.88;i_cr30_lln;10495.49,1087.63 10496.47,1183.98;center;;;;;;
1.20;;;;;i_cr30_lln;LLN_DU_3;224.00;1;-1;13.41;nlln_du_3;10493.15,1201.98 10497.82,1289.71 10499.04,1357.87 10499.08,1469.25;;;;;;;
1.20;;;;;nlln_ud_1;LLN_UD_1;;1;-1;13.41;nlln_ud_2;10497.87,1469.27 10497.27,1381.31 10496.99,1321.85 10494.11,1296.11;;;;;;;
1.20;;;;;nlln_ud_2;LLN_UD_2;100.00;2;-1;13.41;i_cr30_lln;10494.11,1296.11 10493.20,1276.89 10489.95,1202.03;center;;;;;;
1.20;;;;;i_cr30_lln;LLN_UD_3;224.00;1;-1;17.88;nlln_ud_3;10493.15,1201.98 10490.71,1134.08 10490.26,952.57;;;;;;;
1.20;;;;;npln;PLN_DU;;1;3;13.41;i_cr30_pln;10061.32,1344.34 10069.78,1351.84 10076.44,1360.68 10084.39,1373.65 10104.27,1407.46 10109.77,1417.21 10114.79,1423.34;;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Peony Lane North;highway.residential;0;origId;6023364
1.20;;;;;i_cr30_pln;PLN_UD;;1;-1;27.00;npln;10114.79,1423.34 10109.85,1417.55 10104.27,1407.46 10084.39,1373.65 10076.44,1360.68 10069.78,1351.84 10061.32,1344.34;;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Peony Lane North;highway.residential;0;origId;6023364
1.20;;;;;nqln;QLN_DU;;1;3;13.41;ncr30_lr_8;9934.22,1454.90 9937.42,1460.19 9956.95,1492.56 9966.01,1507.57 9970.11,1514.36;;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Queensland Lane North;highway.residential;0;origId;6029280
1.20;;;;;ncr30_lr_8;QLN_UD;;1;-1;27.00;nqln;9970.11,1514.36 9966.01,1507.57 9956.95,1492.56 9937.42,1460.19 9934.22,1454.90;;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Queensland Lane North;highway.residential;0;origId;6029280
1.20;;;;;i_cr30_tln;TLN_DU;100.00;1;3;13.41;gneJ3;9590.39,1630.22 9590.40,1636.18 9590.48,1648.81 9590.72,1659.70 9592.19,1664.34 9595.54,1668.04 9602.39,1673.88 9619.45,1687.85 9641.48,1706.07 9658.82,1720.63;;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Troy Lane North;highway.residential;0;origId;235918142
1.20;;;;;gneJ3;TLN_DU_2;;1;3;13.41;ntln;9658.82,1720.63 9663.14,1725.48 9666.67,1730.74 9670.59,1738.48 9673.31,1748.71 9674.93,1758.54 9676.61,1773.94 9682.54,1817.75 9687.61,1839.56 9691.80,1851.23 9693.79,1856.16 9694.32,1861.27 9694.06,1868.42 9692.13,1878.50 9684.15,1890.40 9679.49,1909.36 9672.46,1923.38 9670.88,1935.85 9666.88,1952.88 9669.81,1968.32 9673.02,2012.14;;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Troy Lane North;highway.residential;0;origId;235918142
1.20;;;;;ntln;TLN_UD_1;;1;3;13.41;gneJ8;9671.43,2012.33 9667.75,1968.17 9665.08,1952.83 9669.08,1935.64 9670.87,1922.87 9677.74,1908.43 9682.56,1889.32 9690.21,1877.74 9692.09,1867.72 9692.21,1860.89 9691.44,1856.30 9685.49,1840.54 9680.43,1818.15 9678.16,1805.28;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Troy Lane North;highway.residential;0;origId;235918142
1.20;;;;;ntln_ud;TLN_UD_2;100.00;2;3;13.41;i_cr30_tln;9656.87,1722.21 9655.12,1719.11 9650.48,1714.57 9603.65,1675.01 9596.76,1669.42 9592.83,1665.15 9590.43,1660.02 9590.28,1642.18 9590.40,1636.18 9590.28,1630.04;;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Troy Lane North;highway.residential;0;origId;235918142
1.20;;;;;ntln_ud;TLN_UD_2;100.00;2;3;13.41;i_cr30_tln;9656.87,1722.21 9655.12,1719.11 9650.48,1714.57 9603.65,1675.01 9596.76,1669.42 9592.83,1665.15 9590.43,1660.02 9590.28,1642.18 9590.40,1636.18 9590.28,1630.04;;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Troy Lane North;highway.residential;1;origId;235918142
1.20;;;;;gneJ8;TLN_UD_2.1;224.00;1;3;13.41;ntln_ud;9678.16,1805.28 9674.35,1774.03 9672.81,1758.77 9670.31,1748.61 9667.34,1740.01 9664.19,1733.31 9659.78,1727.18 9656.87,1722.21;center;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Troy Lane North;highway.residential;0;origId;235918142
1.20;;;;;nwcn;WCN_DU;;1;3;13.41;ncr30_lr_6;9382.27,1458.73 9368.61,1474.93 9362.07,1484.75 9356.71,1495.78 9354.43,1507.23 9351.55,1523.81 9349.16,1531.49 9345.03,1538.73 9339.01,1544.22 9306.22,1567.76 9301.99,1571.56 9299.03,1575.80 9297.26,1580.92 9296.74,1586.48 9297.39,1598.04 9298.26,1614.96;;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Winslow Chase North;highway.residential;0;origId;6029365
1.20;;;;;ncr30_lr_6;WCN_UD;;1;-1;27.00;nwcn;9298.26,1614.96 9296.74,1586.48 9297.26,1580.92 9299.03,1575.80 9301.99,1571.56 9306.22,1567.76 9339.01,1544.22 9345.03,1538.73 9349.16,1531.49 9351.55,1523.81 9354.43,1507.23 9356.71,1495.78 9362.07,1484.75 9368.61,1474.93 9382.27,1458.73;;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Winslow Chase North;highway.residential;0;origId;6029365
1.20;;;;;nzln;ZLN_DU;;1;3;13.41;ncr30_lr_4;9120.00,1531.18 9121.20,1534.61 9123.04,1540.16 9125.47,1549.81 9126.16,1559.58 9126.37,1607.04 9126.30,1615.25;;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Zircon Lane North;highway.residential;0;origId;6031990
1.20;;;;;ncr30_lr_4;ZLN_UD;;1;-1;27.00;nzln;9126.30,1615.25 9126.16,1559.58 9125.47,1549.81 9123.04,1540.16 9121.20,1534.61 9120.00,1531.18;;tram rail_urban rail rail_electric rail_fast ship cable_car subway;Zircon Lane North;highway.residential;0;origId;6031990
1.20;;;;;ncr30_rl_7;gneE34;;1;-1;27.00;ncr30_lr_6;9310.55,1623.28 9299.52,1617.84 9298.26,1614.96;;;;;;;
1.20;;;;;ncr30_rl_9;gneE35;;1;-1;27.00;ncr30_lr_4;;;;;;;;
