system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
215.0,201,2327.0,4.140569395017794,4.618410523735966
216.0,206,2412.0,4.291814946619217,4.516467583882802
217.0,208,2503.0,4.430088495575221,4.5285973569671265
218.0,212,2564.0,4.5380530973451325,4.446567573177807
219.0,221,2619.0,4.610915492957746,4.429867984023499
220.0,224,2649.0,4.663732394366197,4.325327206595524
221.0,231,2693.0,4.741197183098592,4.214796392124515
222.0,231,2734.0,4.813380281690141,4.164252373946272
223.0,236,2699.0,4.726795096322242,4.089652352867742
224.0,227,2545.0,4.464912280701754,4.002947931086143
225.0,222,2438.0,4.2622377622377625,4.019280807424261
226.0,220,2363.0,4.131118881118881,4.061855932300417
227.0,218,2343.0,4.081881533101045,4.179436149087353
228.0,214,2278.0,3.9617391304347827,4.227289748625035
229.0,218,2315.0,3.9913793103448274,4.414821610254469
230.0,217,2255.0,3.9081455805892547,4.4076519146612405
231.0,211,2254.0,3.8996539792387543,4.5003879221733225
232.0,211,2140.0,3.7024221453287196,4.60517897894743
233.0,208,2074.0,3.575862068965517,4.685038735789821
234.0,209,2034.0,3.5251299826689775,4.734415335967213
235.0,201,2013.0,3.476683937823834,4.8629672664389
236.0,207,2013.0,3.482698961937716,4.8748661537976945
237.0,206,2043.0,3.5163511187607575,4.936090480408236
238.0,204,2068.0,3.577854671280277,4.913784925205787
239.0,208,2156.0,3.717241379310345,4.980992787118239
240.0,216,2189.0,3.7937608318890814,4.944589836506369
241.0,213,2217.0,3.8224137931034483,4.9504270348549255
242.0,205,2167.0,3.7491349480968856,4.893683538960829
243.0,208,2111.0,3.639655172413793,4.910398347546652
244.0,203,2099.0,3.637781629116118,4.827399540630553
245.0,199,2094.0,3.6354166666666665,4.857877094532226
246.0,202,2114.0,3.7087719298245614,4.758448517504134
247.0,204,2118.0,3.7092819614711035,4.866851252218074
248.0,199,2044.0,3.6049382716049383,4.832580013374319
249.0,199,2031.0,3.5631578947368423,4.882852677655075
250.0,200,1997.0,3.5407801418439715,4.7754406827464075
251.0,195,1941.0,3.4353982300884955,4.728250644033404
252.0,189,1805.0,3.200354609929078,4.651060105848788
253.0,183,1732.0,3.060070671378092,4.593502704339341
254.0,184,1706.0,3.0301953818827707,4.554755630898612
255.0,183,1675.0,2.9541446208112876,4.627594834706069
256.0,189,1673.0,2.9558303886925796,4.598588135287785
257.0,191,1709.0,3.0088028169014085,4.670867915192676
258.0,198,1729.0,3.0440140845070425,4.624290464011815
259.0,201,1795.0,3.160211267605634,4.6425145028133
260.0,196,1735.0,3.059964726631393,4.668871361383428
261.0,186,1721.0,3.0140105078809105,4.696008457250235
262.0,187,1699.0,2.980701754385965,4.64500091824343
263.0,184,1630.0,2.844677137870855,4.718502697294757
264.0,189,1657.0,2.8968531468531467,4.7251713093407055
265.0,191,1712.0,2.977391304347826,4.845752408427244
266.0,194,1805.0,3.139130434782609,4.815422871437236
267.0,193,1853.0,3.2338568935427574,4.776766975766161
268.0,197,1875.0,3.260869565217391,4.767594917149313
269.0,198,1934.0,3.357638888888889,4.716510904833581
270.0,206,2017.0,3.520069808027923,4.647602163200339
271.0,205,2093.0,3.6273830155979203,4.601125714389028
272.0,214,2219.0,3.8524305555555554,4.505097193503406
273.0,220,2294.0,3.9551724137931035,4.465628430626944
274.0,226,2378.0,4.1070811744386875,4.287272604957092
275.0,231,2492.0,4.289156626506024,4.165501917704213
276.0,234,2512.0,4.294017094017094,4.048831088392655
277.0,234,2440.0,4.156729131175468,4.048547885739539
278.0,230,2357.0,4.00169779286927,4.013059766491561
279.0,233,2275.0,3.8429054054054053,4.019970060014966
280.0,237,2167.0,3.660472972972973,4.028429901106413
281.0,227,2085.0,3.51010101010101,4.117353396867206
282.0,224,2064.0,3.480607082630691,4.175130757313859
283.0,224,2047.0,3.446127946127946,4.306076687402035
284.0,225,2030.0,3.411764705882353,4.354438970088614
285.0,226,2077.0,3.4966329966329965,4.431880447766175
286.0,225,2076.0,3.512690355329949,4.440901598314554
287.0,223,2070.0,3.490725126475548,4.466611789859894
288.0,218,1974.0,3.3344594594594597,4.426786342970726
289.0,216,1952.0,3.2861952861952863,4.478884560505833
290.0,214,1918.0,3.245346869712352,4.423915359432694
291.0,212,1873.0,3.1426174496644297,4.4258206607884345
292.0,211,1845.0,3.1218274111675126,4.364016754888625
293.0,212,1836.0,3.090909090909091,4.446489964220085
294.0,212,1885.0,3.1841216216216215,4.408753074654656
295.0,211,1911.0,3.2280405405405403,4.495848147197509
296.0,213,1935.0,3.268581081081081,4.537168154302804
297.0,213,1982.0,3.3536379018612523,4.569864560078133
298.0,212,2023.0,3.41722972972973,4.623354483374437
299.0,207,2040.0,3.457627118644068,4.644560594057254
300.0,208,2092.0,3.557823129251701,4.622037561326566
301.0,206,2103.0,3.570458404074703,4.698121385578133
302.0,205,2125.0,3.6139455782312924,4.628865853919421
303.0,207,2158.0,3.6576271186440676,4.629972920996817
304.0,211,2213.0,3.744500846023689,4.502786058319471
305.0,206,2077.0,3.5203389830508476,4.4665133774277
306.0,201,1980.0,3.3616298811544993,4.3601827548857965
307.0,200,1913.0,3.253401360544218,4.3285104287398
308.0,201,1807.0,3.078364565587734,4.388576784900121
309.0,190,1711.0,2.9148211243611586,4.420561480061906
310.0,194,1707.0,2.917948717948718,4.413682974984846
311.0,199,1703.0,2.8962585034013606,4.443900255313747
312.0,203,1682.0,2.8850771869639793,4.355003028705519
313.0,202,1675.0,2.8534923339011926,4.442504482462497
314.0,206,1723.0,2.9503424657534247,4.437342059713077
315.0,210,1762.0,3.0017035775127767,4.482827568656337
316.0,209,1732.0,2.981067125645439,4.431599297921099
317.0,211,1763.0,3.0136752136752136,4.52541807261966
318.0,205,1746.0,3.010344827586207,4.466386329062715
319.0,199,1742.0,2.982876712328767,4.450099178411676
320.0,201,1771.0,3.058721934369603,4.36293226878264
321.0,206,1849.0,3.171526586620926,4.386182791093624
322.0,211,1917.0,3.2938144329896906,4.336906383513276
323.0,218,1998.0,3.4271012006861064,4.337160694077759
324.0,216,2006.0,3.42320819112628,4.294894363379889
325.0,215,2056.0,3.5205479452054793,4.246372412950741
326.0,225,2092.0,3.569965870307167,4.214782589424176
327.0,227,2198.0,3.750853242320819,4.196825533881273
328.0,232,2217.0,3.770408163265306,4.227671895534566
329.0,234,2252.0,3.816949152542373,4.310285869716382
330.0,233,2288.0,3.8779661016949154,4.31115262943888
331.0,233,2350.0,3.9629005059021924,4.364030261965061
332.0,228,2375.0,4.011824324324325,4.367444818151459
333.0,234,2425.0,4.068791946308725,4.428887255201215
334.0,228,2408.0,4.06070826306914,4.425388165252386
335.0,226,2417.0,4.055369127516778,4.452336471965571
336.0,229,2375.0,3.9983164983164983,4.405517002062044
337.0,224,2396.0,4.02013422818792,4.421122351552867
338.0,220,2387.0,4.032094594594595,4.333749369595531
339.0,228,2386.0,4.010084033613445,4.372647134473768
340.0,230,2349.0,3.9679054054054053,4.2918334777779314
341.0,226,2289.0,3.847058823529412,4.326648198892907
342.0,224,2251.0,3.795952782462057,4.283126529547293
343.0,228,2261.0,3.8063973063973062,4.294735659728217
344.0,225,2200.0,3.697478991596639,4.215108632861183
345.0,228,2160.0,3.630252100840336,4.2422845553151864
346.0,229,2154.0,3.6262626262626263,4.256860043576398
347.0,232,2154.0,3.632377740303541,4.274358869587213
348.0,236,2187.0,3.6818181818181817,4.339429191081503
349.0,241,2286.0,3.8680203045685277,4.367876245565637
350.0,244,2391.0,4.038851351351352,4.420778256461698
351.0,247,2484.0,4.181818181818182,4.442366456690648
352.0,246,2499.0,4.2,4.436110332663809
353.0,243,2570.0,4.319327731092437,4.467635914187642
354.0,240,2601.0,4.401015228426396,4.4402881726145225
355.0,233,2573.0,4.346283783783784,4.431471287020243
356.0,227,2543.0,4.310169491525424,4.389283204068577
357.0,224,2491.0,4.2148900169204735,4.433385251224942
358.0,218,2444.0,4.149405772495755,4.361871827921172
359.0,210,2387.0,4.059523809523809,4.321768816810245
360.0,204,2250.0,3.839590443686007,4.238507751789545
